年月日	平均現地気圧(hPa)	平均海面気圧(hPa)	降水量の合計(mm)	降水量の最大1時間(mm)	降水量の最大10分間(mm)	平均気温(℃)	最高気温(℃)	最低気温(℃)	平均湿度(％)	最小湿度(％)	平均風速(m/s)	最大風速(m/s)	最大風速(m/s)	最大瞬間風速(m/s)	最大瞬間風速(m/s)	日照時間(時間)	降雪の合計(cm)	最深積雪(cm)	天気概況(昼：06時～18時)	天気概況(夜：18時～翌日06時)
8/3/2021	1009.9	1012.6	3	3	2	29	32.9	25.7	80	60	4	7.4	南	10.7	南南西	7.6	--	--	曇一時雨後晴	晴
8/4/2021	1008.2	1010.9	--	--	--	29.5	34.5	25.7	76	55	3	5.1	南南東	8	南東	11.5	--	--	晴	晴
8/5/2021	1005.1	1007.8	--	--	--	29.1	34.7	24	74	53	2.8	5.6	南南東	8.1	南東	11.7	--	--	晴後時々薄曇	薄曇後晴
8/6/2021	1004.2	1006.9	--	--	--	29.1	34.8	24.6	75	47	2.9	6.5	南東	10.2	南東	9.9	--	--	晴	晴
8/7/2021	1003.1	1005.8	2	1	0.5	27.9	31.4	26.3	85	65	2.5	6.6	南東	10.8	南東	1.5	--	--	曇時々雨	曇後大雨
8/8/2021	998	1000.7	90.5	27	7	25.9	28.8	24.7	97	81	3	4.9	北西	10.1	北東	0.1	--	--	大雨後一時曇	薄曇時々晴
8/9/2021	995.4	998.1	2	1.5	0.5	28.1	31.3	25.6	84	69	6.1	12.4	南	21.2	南南西	3.9	--	--	曇時々雨後一時晴	晴時々曇
8/10/2021	996.3	999	0	0	0	31	36.8	27.2	58	41	4.7	11	南南西	22.2	南南西	9.2	--	--	晴	晴一時曇
8/11/2021	1008	1010.8	--	--	--	29.2	33.5	25.9	61	45	2.9	6.6	南南東	10.6	南南東	8.8	--	--	晴後薄曇	曇
8/12/2021	1008.8	1011.6	0.5	0.5	0.5	26	29.2	23.9	84	68	2.4	4.8	南	8.2	南南西	0.7	--	--	曇時々雨	雨時々曇
8/13/2021	1008	1010.8	20.5	6	3.5	22.5	25.4	20.5	97	87	2.7	7.1	南	12.9	南	0	--	--	雨	大雨
8/14/2021	1003.6	1006.4	77	21.5	9.5	22.3	25.6	20.1	100	97	2.7	7.3	南	13.2	南東	0	--	--	雨	大雨
8/15/2021	1009.1	1011.9	138.5	30	9.5	19.3	20.2	18.4	100	99	2	3.1	北西	6.5	北	0	--	--	大雨	雨時々曇
8/16/2021	1014.3	1017.2	2	0.5	0.5	20.7	22.5	19	98	91	1.8	3.6	北西	5.2	北西	0	--	--	雨時々曇	曇
8/17/2021	1012.3	1015.1	23.5	16.5	6	23.7	27.4	20.7	96	84	2.4	7.3	南	15.1	南南東	1.2	--	--	雨時々曇	曇時々雨一時晴
8/18/2021	1009.4	1012.2	3	3	1.5	27	31.3	24.5	83	68	5.2	8.3	南南西	15.7	南西	5.8	--	--	晴時々曇一時雨	晴後一時曇
8/19/2021	1012.7	1015.4	0	0	0	28.5	33.8	25.1	74	49	4.8	8.8	南	15.9	南	11.3	--	--	晴	晴一時薄曇
8/20/2021	1014.3	1017.1	--	0	--	28.7	33.7	25.2	71	52	4.4	7.1	南東	11.7	南	10.9	--	--	晴	晴後一時薄曇
8/21/2021	1012.4	1015.2	0	0	0	27.9	32.1	24.8	75	61	3.2	5.8	南	9.8	南南東	4.6	--	--	曇一時晴	曇
8/22/2021	1008.7	1011.5	0	0	0	28.5	33.6	25.5	76	54	2.5	5.2	南	9.5	南	4.6	--	--	曇	曇
8/23/2021	1007.5	1010.3	2.5	2.5	1.5	26.9	30.3	22.2	84	67	2.3	4.9	南東	9.8	東北東	4.2	--	--	曇一時雨後一時晴、雷を伴う	晴時々薄曇
8/24/2021	1007.4	1010.2	0	0	0	27.5	31	23.9	78	60	2.8	5.9	南南西	9	南南東	4.2	--	--	曇	曇時々雨
8/25/2021	1005.9	1008.6	0	0	0	29.4	34.4	26.3	76	54	2.5	5.4	南南東	8.2	東南東	5.4	--	--	曇	晴
8/26/2021	1008.3	1011	0	0	0	30.5	35.7	26.6	75	53	2.3	5.1	南東	8.4	南東	8.1	--	--	薄曇時々晴	晴
8/27/2021	1008.6	1011.3	--	--	--	30	34.3	26.9	74	57	2.5	6	南東	9.7	南東	9	--	--	晴時々曇	晴一時曇
8/28/2021	1007.3	1010	0	0	0	29.8	34.8	26.7	76	51	2.4	5.1	南南東	8.8	南南東	8.9	--	--	晴一時曇	晴後一時曇
8/29/2021	1009.4	1012.1	0	0	0	28.5	32.8	26.5	72	57	2.7	4.9	南東	7.3	南東	1.1	--	--	曇	曇
8/30/2021	1009.1	1011.8	0	0	0	29.2	33.8	26.1	79	60	2.8	6.6	南東	10.1	南東	8.9	--	--	晴一時曇	晴後曇
8/31/2021	1010.6	1013.4	17	11.5	5	26.9	32.4	21.2	76	56	2.9	6	南	9.6	南南東	2.9	--	--		
