年月日	降水量の合計(mm)	降水量の合計(mm)	降水量の合計(mm)	降水量の合計(mm)	平均気温(℃)	平均気温(℃)	平均気温(℃)	最高気温(℃)	最高気温(℃)	最高気温(℃)	最低気温(℃)	最低気温(℃)	最低気温(℃)	日照時間(時間)	日照時間(時間)	日照時間(時間)	日照時間(時間)	合計全天日射量(MJ/㎡)	合計全天日射量(MJ/㎡)	合計全天日射量(MJ/㎡)	平均風速(m/s)	平均風速(m/s)	平均風速(m/s)	最大風速(m/s)	最大風速(m/s)	最大風速(m/s)	最大風速(m/s)	最大風速(m/s)	最大瞬間風速(m/s)	最大瞬間風速(m/s)	最大瞬間風速(m/s)	最大瞬間風速(m/s)	最大瞬間風速(m/s)	最多風向(16方位)	最多風向(16方位)	最多風向(16方位)	平均蒸気圧(hPa)	平均蒸気圧(hPa)	平均蒸気圧(hPa)	平均湿度(％)	平均湿度(％)	平均湿度(％)	平均現地気圧(hPa)	平均現地気圧(hPa)	平均現地気圧(hPa)	平均海面気圧(hPa)	平均海面気圧(hPa)	平均海面気圧(hPa)	平均雲量(10分比)	平均雲量(10分比)	平均雲量(10分比)	天気概況(昼：06時～18時)	天気概況(昼：06時～18時)	天気概況(昼：06時～18時)	天気概況(夜：18時～翌日06時)	天気概況(夜：18時～翌日06時)	天気概況(夜：18時～翌日06時)
7/18/2011	0	0	8	1	30.1	8	1	34.8	8	1	27.4	8	1	5.3	0	8	1	18.79	8	1	4.3	8	1	7	8	南	8	1	11.5	8	南南西	8	1	南	8	1	27.1	8	1	64	8	1	1005.6	8	1	1009.7	8	1	8	8	1	曇後一時雨	8	1	曇一時雨	8	1
7/19/2011	3.5	0	8	1	27.9	8	1	28.7	8	1	26.5	8	1	0	0	8	1	4.96	8	1	4.6	8	1	8.6	8	南南東	8	1	14.3	8	南東	8	1	南南東	8	1	29.2	8	1	78	8	1	1001.4	8	1	1005.5	8	1	10	8	1	雨時々曇	8	1	曇時々雨	8	1
7/20/2011	6	0	8	1	25.9	8	1	28.7	8	1	21.1	8	1	0	0	8	1	6.84	8	1	4.7	8	1	8.7	8	南南東	8	1	15.6	8	南	8	1	南南東	8	1	26.7	8	1	79	8	1	992.4	8	1	996.6	8	1	10	8	1	雨後一時曇	8	1	雨時々曇	8	1
7/21/2011	3	0	8	1	20.7	8	1	23.6	8	1	18.2	8	1	2.9	0	8	1	10.03	8	1	4.1	8	1	7.2	8	北東	8	1	14.7	8	北東	8	1	北北東	8	1	16.5	8	1	68	8	1	1000.9	8	1	1005.1	8	1	9	8	1	雨後曇	8	1	晴後一時曇	8	1
7/22/2011	0	1	8	1	21	8	1	24.2	8	1	18	8	1	5	0	8	1	17.63	8	1	3.1	8	1	5.5	8	北東	8	1	10.5	8	北北東	8	1	北東	8	1	14.2	8	1	57	8	1	1005	8	1	1009.2	8	1	7	8	1	曇時々晴	8	1	曇時々晴	8	1
7/23/2011	0	0	8	1	23.1	8	1	27.5	8	1	18.9	8	1	1.8	0	8	1	16.9	8	1	2.8	8	1	5	8	北北東	8	1	9.2	8	北北西	8	1	北北西	8	1	17.9	8	1	62	8	1	1003.8	8	1	1008	8	1	8	8	1	曇	8	1	曇時々晴	8	1
7/24/2011	0	1	8	1	26	8	1	30.3	8	1	22.7	8	1	7.9	0	8	1	20.55	8	1	3	8	1	5.8	8	南南東	8	1	8.8	8	南	8	1	南	8	1	21.7	8	1	65	8	1	1006.3	8	1	1010.4	8	1	7.8	8	1	曇一時晴	8	1	曇時々晴	8	1
7/25/2011	0	0	8	1	27.6	8	1	31.5	8	1	25.1	8	1	9.3	0	8	1	22.51	8	1	4.1	8	1	7.8	8	南東	8	1	12	8	南南東	8	1	南	8	1	24.2	8	1	66	8	1	1009.5	8	1	1013.6	8	1	8.8	8	1	薄曇一時晴	8	1	晴時々薄曇	8	1
7/26/2011	0	1	8	1	27.5	8	1	30.4	8	1	25.4	8	1	1.9	0	8	1	14.71	8	1	3.3	8	1	7.2	8	南	8	1	12.2	8	南南西	8	1	南南西	8	1	24.3	8	1	66	8	1	1010.9	8	1	1015	8	1	7.8	8	1	曇一時晴	8	1	曇	8	1
7/27/2011	0	0	8	1	28.3	8	1	31.8	8	1	25.5	8	1	1.5	0	8	1	13.3	8	1	1.9	8	1	5.1	8	南南東	8	1	7.3	8	南	8	1	南	8	1	25	8	1	66	8	1	1010.7	8	1	1014.8	8	1	10	8	1	曇一時雨	8	1	曇時々雨	8	1
7/28/2011	2.5	0	8	1	26.4	8	1	29.6	8	1	24.1	8	1	0.1	0	8	1	7.66	8	1	1.9	8	1	3.9	8	南東	8	1	6.2	8	北北西	8	1	北北西	8	1	26.4	8	1	77	8	1	1006.6	8	1	1010.7	8	1	10	8	1	曇一時雨	8	1	雨時々曇、雷を伴う	8	1
7/29/2011	5	0	8	1	26.5	8	1	29.4	8	1	25	8	1	0.3	0	8	1	8.58	8	1	1.7	8	1	4.2	8	南	8	1	7.1	8	南南西	8	1	北西	8	1	26.7	8	1	78	8	1	1002.2	8	1	1006.3	8	1	10	8	1	雨後曇	8	1	雨時々曇、雷を伴う	8	1
7/30/2011	29	0	8	1	25.7	8	1	29.7	8	1	23.1	8	1	2	0	8	1	13.26	8	1	2	8	1	5.3	8	南東	8	1	8.4	8	南東	8	1	北東	8	1	25.2	8	1	77	8	1	1000.5	8	1	1004.6	8	1	9.8	8	1	曇一時晴	8	1	曇時々雨、雷を伴う	8	1
7/31/2011	0	0	8	1	23.5	8	1	25.1	8	1	22.2	8	1	0	0	8	1	3.33	8	1	3	8	1	4.9	8	北北東	8	1	9.4	8	北東	8	1	北東	8	1	22.2	8	1	77	8	1	1004.1	8	1	1008.3	8	1	10	8	1	曇一時雨	8	1	曇	8	1
8/1/2011	0	0	8	1	24.5	8	1	27.3	8	1	22.1	8	1	0.3	0	8	1	9.81	8	1	2.5	8	1	5	8	南東	8	1	8.9	8	南東	8	1	東	8	1	20.9	8	1	69	8	1	1008.3	8	1	1012.5	8	1	10	8	1	曇	8	1	曇後一時晴	8	1
8/2/2011	0	1	8	1	25.5	8	1	29.1	8	1	22	8	1	1.6	0	8	1	10.56	8	1	2.3	8	1	5.1	8	南東	8	1	8	8	南東	8	1	南南東	8	1	22.5	8	1	69	8	1	1010.7	8	1	1014.8	8	1	10	8	1	曇	8	1	曇	8	1
8/3/2011	15.5	0	8	1	26.1	8	1	29.3	8	1	24.4	8	1	0.9	0	8	1	10.76	8	1	2	8	1	5.2	8	東	8	1	8.7	8	東	8	1	北東	8	1	25.7	8	1	76	8	1	1009.8	8	1	1014	8	1	9.8	8	1	曇後時々雨	8	1	曇一時晴	8	1
8/4/2011	4.5	0	8	1	27.4	8	1	31.1	8	1	24.3	8	1	5.5	0	8	1	17.46	8	1	2.6	8	1	5.7	8	南東	8	1	10.5	8	南東	8	1	北東	8	1	26.2	8	1	73	8	1	1009.1	8	1	1013.3	8	1	8.3	8	1	曇時々晴一時雨	8	1	晴後曇一時雨	8	1
8/5/2011	4.5	0	8	1	27.8	8	1	31.2	8	1	25.1	8	1	3.4	0	8	1	14.7	8	1	3.2	8	1	5.7	8	南南東	8	1	9.1	8	南南東	8	1	南南東	8	1	27.3	8	1	74	8	1	1008.2	8	1	1012.3	8	1	6	8	1	晴一時曇	8	1	晴後曇	8	1
8/6/2011	0	0	8	1	29	8	1	32.3	8	1	26	8	1	6.4	0	8	1	18.57	8	1	2.2	8	1	4.8	8	南東	8	1	7.6	8	南南東	8	1	南南東	8	1	27.8	8	1	70	8	1	1007.3	8	1	1011.5	8	1	9.8	8	1	曇後一時雨	8	1	曇後一時晴	8	1
8/7/2011	20	0	8	1	28.9	8	1	34.5	8	1	26	8	1	7.2	0	8	1	20.07	8	1	2.1	8	1	8.1	8	南東	8	1	12	8	南南東	8	1	北東	8	1	27.6	8	1	70	8	1	1007.8	8	1	1011.9	8	1	9	8	1	薄曇後一時雨、雷を伴う	8	1	雨時々曇後晴、雷を伴う	8	1
8/8/2011	0	1	8	1	29.3	8	1	33.2	8	1	25.5	8	1	9.4	0	8	1	22.36	8	1	2.5	8	1	5.1	8	南南東	8	1	8.1	8	南南東	8	1	南南東	8	1	27.3	8	1	67	8	1	1007	8	1	1011.1	8	1	6.8	8	1	晴後薄曇	8	1	晴時々薄曇	8	1
8/9/2011	0	1	8	1	30.2	8	1	33.9	8	1	27.4	8	1	9.9	0	8	1	22.93	8	1	2.6	8	1	5.5	8	南南東	8	1	9	8	南	8	1	南南東	8	1	28.1	8	1	66	8	1	1006.2	8	1	1010.3	8	1	5.3	8	1	晴時々薄曇	8	1	晴	8	1
8/10/2011	0	1	8	1	30.5	8	1	34.6	8	1	27.4	8	1	12.4	0	8	1	24.64	8	1	3.2	8	1	6.9	8	南東	8	1	10.2	8	南南東	8	1	南南東	8	1	29.2	8	1	67	8	1	1003.5	8	1	1007.6	8	1	3	8	1	晴	8	1	晴	8	1
8/11/2011	0	0	8	1	31	8	1	35.2	8	1	28.2	8	1	8.4	0	8	1	20.74	8	1	2.4	8	1	5.6	8	南東	8	1	8.5	8	南東	8	1	南南東	8	1	29.8	8	1	67	8	1	999.7	8	1	1003.7	8	1	4.3	8	1	晴後一時雨、雷を伴う	8	1	晴時々曇	8	1
8/12/2011	0	1	8	1	31.2	8	1	35.1	8	1	28.1	8	1	6.6	0	8	1	19.99	8	1	2.1	8	1	4.9	8	南東	8	1	9	8	南東	8	1	南南東	8	1	26.1	8	1	58	8	1	1000.5	8	1	1004.6	8	1	6.3	8	1	晴	8	1	晴一時曇	8	1
8/13/2011	0	1	8	1	30	8	1	34.5	8	1	27.2	8	1	9.7	0	8	1	22.41	8	1	2.8	8	1	6.8	8	南	8	1	10.3	8	南南東	8	1	南南東	8	1	27.7	8	1	66	8	1	1004.8	8	1	1008.9	8	1	5.8	8	1	晴後薄曇	8	1	曇時々晴	8	1
8/14/2011	0	1	8	1	30	8	1	33.6	8	1	27.7	8	1	6.5	0	8	1	17.89	8	1	2.7	8	1	6.7	8	南南東	8	1	10.3	8	南南東	8	1	南南東	8	1	28.8	8	1	68	8	1	1005	8	1	1009.1	8	1	5.5	8	1	曇後晴	8	1	晴	8	1
8/15/2011	0	0	8	1	30.3	8	1	33.2	8	1	27.4	8	1	9.4	0	8	1	21.85	8	1	3.1	8	1	7.3	8	南南東	8	1	10.3	8	南南東	8	1	南南東	8	1	27.2	8	1	63	8	1	1002.6	8	1	1006.6	8	1	5.5	8	1	晴	8	1	曇後晴	8	1
8/16/2011	0	1	8	1	30.3	8	1	33.6	8	1	27.4	8	1	7.6	0	8	1	18.54	8	1	2.7	8	1	6	8	南東	8	1	9	8	南南東	8	1	南	8	1	28.5	8	1	66	8	1	1000.4	8	1	1004.4	8	1	5	8	1	晴後時々薄曇	8	1	晴一時薄曇	8	1
8/17/2011	0	1	8	1	30.7	8	1	33.8	8	1	27.5	8	1	8.7	0	8	1	21.34	8	1	3.1	8	1	6.5	8	南南東	8	1	9.9	8	南東	8	1	南	8	1	28	8	1	64	8	1	1000.1	8	1	1004.2	8	1	5	8	1	晴時々薄曇	8	1	晴後一時薄曇	8	1
8/18/2011	0	1	8	1	31.9	8	1	36.1	8	1	28.7	8	1	10.8	0	8	1	23.57	8	1	3.7	8	1	6.8	8	南東	8	1	12.1	8	南西	8	1	南南西	8	1	27.9	8	1	59	8	1	999.1	8	1	1003.2	8	1	6	8	1	晴後薄曇	8	1	曇	8	1
8/19/2011	57	0	8	1	25.3	8	1	30.9	8	1	22	8	1	0.3	0	8	1	3.4	8	1	2.9	8	1	6.8	8	北東	8	1	13.9	8	東北東	8	1	北東	8	1	24.9	8	1	77	8	1	1003.9	8	1	1008.1	8	1	10	8	1	大雨一時曇、雷を伴う	8	1	曇一時雨	8	1
8/20/2011	0	0	8	1	23.7	8	1	25.8	8	1	22.3	8	1	0	0	8	1	5.84	8	1	2.1	8	1	3.6	8	北北西	8	1	6.1	8	北北東	8	1	北北西	8	1	21.1	8	1	72	8	1	1007.6	8	1	1011.8	8	1	10	8	1	曇	8	1	雨時々曇	8	1
8/21/2011	11	0	8	1	20.6	8	1	23.5	8	1	19.3	8	1	0	0	8	1	2.96	8	1	2	8	1	3.7	8	北東	8	1	7	8	北北西	8	1	北北西	8	1	20.9	8	1	86	8	1	1007.2	8	1	1011.4	8	1	10	8	1	雨	8	1	雨	8	1
8/22/2011	26	0	8	1	21.2	8	1	22.9	8	1	19.5	8	1	0	0	8	1	3.82	8	1	1.8	8	1	4.3	8	西北西	8	1	6.4	8	北北東	8	1	北北東	8	1	21.5	8	1	85	8	1	1007.4	8	1	1011.6	8	1	10	8	1	雨時々曇	8	1	曇後霧雨	8	1
8/23/2011	0	0	8	1	25.9	8	1	30.9	8	1	21.4	8	1	4.8	0	8	1	16.27	8	1	2.7	8	1	6.4	8	南	8	1	9.8	8	南	8	1	南	8	1	25.9	8	1	78	8	1	1007.5	8	1	1011.6	8	1	9.5	8	1	曇一時霧雨後晴	8	1	晴時々曇	8	1
8/24/2011	0	0	8	1	28.1	8	1	32	8	1	25.6	8	1	6	0	8	1	16.65	8	1	3.7	8	1	6.9	8	南	8	1	11.5	8	南南東	8	1	南	8	1	27.5	8	1	72	8	1	1009.6	8	1	1013.8	8	1	8.3	8	1	曇後晴	8	1	雨時々曇	8	1
8/25/2011	2.5	0	8	1	27.2	8	1	29.3	8	1	25.1	8	1	0.4	0	8	1	6.56	8	1	4	8	1	5.9	8	南	8	1	10.8	8	南南西	8	1	南	8	1	27.8	8	1	77	8	1	1010.5	8	1	1014.6	8	1	10	8	1	雨後曇	8	1	曇	8	1
8/26/2011	88.5	0	8	1	26.2	8	1	31.9	8	1	22.9	8	1	3.6	0	8	1	12.74	8	1	2.4	8	1	7.8	8	北東	8	1	13.5	8	東北東	8	1	北北東	8	1	26.3	8	1	78	8	1	1011	8	1	1015.2	8	1	9.5	8	1	曇後大雨、雷を伴う	8	1	雨	8	1
8/27/2011	0.5	0	8	1	24.3	8	1	27.5	8	1	21.9	8	1	0.1	0	8	1	8.03	8	1	2.5	8	1	4.3	8	北北東	8	1	7.5	8	東北東	8	1	東北東	8	1	23.3	8	1	77	8	1	1011.8	8	1	1016	8	1	8.3	8	1	曇	8	1	晴時々曇	8	1
8/28/2011	0	1	8	1	25.6	8	1	29.8	8	1	22.1	8	1	8.6	0	8	1	20.32	8	1	2	8	1	4	8	東南東	8	1	6.3	8	東北東	8	1	東北東	8	1	22.3	8	1	68	8	1	1010.7	8	1	1014.9	8	1	3.8	8	1	晴	8	1	晴後曇	8	1
8/29/2011	0	1	8	1	26	8	1	29.8	8	1	23.1	8	1	7.4	0	8	1	18.49	8	1	2.6	8	1	4.8	8	北東	8	1	9.1	8	東	8	1	北東	8	1	23.2	8	1	70	8	1	1009.8	8	1	1014	8	1	7.5	8	1	晴時々曇	8	1	曇時々晴	8	1
8/30/2011	4.5	0	8	1	26.3	8	1	31.7	8	1	22.7	8	1	10.9	0	8	1	23.95	8	1	2.9	8	1	4.6	8	東北東	8	1	9.2	8	東	8	1	北北東	8	1	21.5	8	1	65	8	1	1007.2	8	1	1011.4	8	1	7	8	1	晴後一時曇	8	1	雨時々曇	8	1
8/31/2011	9.5	0	8	1	26.4	8	1	30.4	8	1	21.6	8	1	2.1	0	8	1	13.49	8	1	2.6	8	1	4.8	8	西北西	8	1	7.1	8	東南東	8	1	北	8	1	25.6	8	1	75	8	1	1005.4	8	1	1009.6	8	1	10	8	1	曇	8	1	曇一時雨、雷を伴う	8	1
7/1/2012	7.5	0	8	1	21.9	8	1	24.7	8	1	19.7	8	1	0.6	0	8	1	10.88	8	1	1.6	8	1	3.4	8	南	8	1	6.7	8	北北東	8	1	北東	8	1	19.1	8	1	73	8	1	1004.5	8	1	1008.7	8	1	10	8	1	雨時々曇	8	1	雨	8	1
7/2/2012	8	0	8	1	22.8	8	1	27	8	1	19.3	8	1	3.9	0	8	1	15.38	8	1	2.5	8	1	4.5	8	東南東	8	1	7.6	8	北東	8	1	北	8	1	22.2	8	1	81	8	1	999.8	8	1	1003.9	8	1	8	8	1	曇時々雨後晴	8	1	曇	8	1
7/3/2012	9	0	8	1	23.5	8	1	27.7	8	1	21.7	8	1	1.3	0	8	1	10.89	8	1	2.2	8	1	5.4	8	南南西	8	1	8.7	8	南南東	8	1	南	8	1	23.7	8	1	82	8	1	999.5	8	1	1003.7	8	1	10	8	1	曇後雨	8	1	雨	8	1
7/4/2012	3	0	8	1	24.8	8	1	29	8	1	21.1	8	1	9.9	0	8	1	26.05	8	1	3.1	8	1	6.1	8	南南東	8	1	9.6	8	南南東	8	1	南南東	8	1	23.8	8	1	77	8	1	1001.4	8	1	1005.5	8	1	7.3	8	1	晴	8	1	曇	8	1
7/5/2012	0	0	8	1	26.7	8	1	29.4	8	1	24.2	8	1	1.6	0	8	1	14.89	8	1	2	8	1	4.2	8	南南東	8	1	6	8	北東	8	1	南東	8	1	25.9	8	1	74	8	1	1002.1	8	1	1006.2	8	1	10	8	1	曇	8	1	曇後時々雨	8	1
7/6/2012	8	0	8	1	25.3	8	1	28.8	8	1	22.8	8	1	0.3	0	8	1	8.89	8	1	2.2	8	1	4.6	8	南	8	1	7.7	8	北北東	8	1	南南東	8	1	26	8	1	81	8	1	999	8	1	1003.1	8	1	9.3	8	1	曇後時々雨	8	1	雨後時々曇	8	1
7/7/2012	23	0	8	1	23	8	1	25.1	8	1	20.8	8	1	0	0	8	1	2.46	8	1	2.4	8	1	5.4	8	北東	8	1	9.7	8	北北東	8	1	北北西	8	1	25.7	8	1	91	8	1	991.1	8	1	995.2	8	1	10	8	1	雨時々曇一時霧雨	8	1	雨時々曇	8	1
7/8/2012	6	0	8	1	22.6	8	1	26.6	8	1	19.9	8	1	4.3	0	8	1	17.69	8	1	2.2	8	1	4.4	8	南南東	8	1	6.6	8	南東	8	1	北東	8	1	21.5	8	1	79	8	1	999.7	8	1	1003.9	8	1	10	8	1	曇一時雨	8	1	晴時々曇	8	1
7/9/2012	0	1	8	1	24.9	8	1	28.9	8	1	20.4	8	1	12.1	0	8	1	27.65	8	1	2.6	8	1	6.3	8	南東	8	1	8.2	8	南	8	1	南南東	8	1	21.6	8	1	69	8	1	1004	8	1	1008.2	8	1	4.3	8	1	晴	8	1	曇	8	1
7/10/2012	0	1	8	1	26.5	8	1	31	8	1	23.4	8	1	11.7	0	8	1	27.65	8	1	2.9	8	1	6.2	8	南南東	8	1	10.2	8	南南東	8	1	南南東	8	1	24.1	8	1	71	8	1	1005.7	8	1	1009.9	8	1	3.8	8	1	晴	8	1	晴	8	1
7/11/2012	0	1	8	1	27	8	1	30.9	8	1	23.5	8	1	11.9	0	8	1	26.08	8	1	4.6	8	1	9.2	8	南	8	1	15.9	8	南	8	1	南	8	1	25.6	8	1	73	8	1	1005.5	8	1	1009.7	8	1	7.5	8	1	薄曇時々晴	8	1	曇一時晴	8	1
7/12/2012	2	0	8	1	26.7	8	1	27.4	8	1	25.6	8	1	0	0	8	1	6.31	8	1	6.9	8	1	9.9	8	南	8	1	18.8	8	南南西	8	1	南	8	1	28.6	8	1	82	8	1	1000.8	8	1	1004.9	8	1	10	8	1	雨時々曇	8	1	曇時々雨	8	1
7/13/2012	11.5	0	8	1	27.4	8	1	31	8	1	24.7	8	1	3	0	8	1	15.79	8	1	4.4	8	1	7.1	8	南南西	8	1	12.7	8	南南西	8	1	南	8	1	29.4	8	1	81	8	1	999.9	8	1	1004	8	1	10	8	1	曇一時晴	8	1	曇後大雨、雷を伴う	8	1
7/14/2012	41	0	8	1	28.6	8	1	33	8	1	24.7	8	1	5.5	0	8	1	21.35	8	1	4.8	8	1	7.5	8	南	8	1	13.2	8	南南西	8	1	南	8	1	28.9	8	1	75	8	1	1000.4	8	1	1004.5	8	1	9.5	8	1	曇時々晴	8	1	曇	8	1
7/15/2012	0	0	8	1	29.1	8	1	32.7	8	1	26.9	8	1	7.8	0	8	1	24.33	8	1	6.3	8	1	10.1	8	南南西	8	1	17.8	8	南南西	8	1	南南西	8	1	28.4	8	1	71	8	1	1004.7	8	1	1008.8	8	1	9.5	8	1	曇時々晴	8	1	薄曇一時晴	8	1
7/16/2012	0	1	8	1	29.5	8	1	33	8	1	27	8	1	9.4	0	8	1	24.85	8	1	6.1	8	1	9.5	8	南	8	1	15.7	8	南	8	1	南	8	1	27.3	8	1	67	8	1	1007.2	8	1	1011.3	8	1	9.8	8	1	薄曇後時々晴	8	1	曇後晴	8	1
7/17/2012	0	1	8	1	29.9	8	1	34.4	8	1	27	8	1	10.1	0	8	1	25.19	8	1	3.4	8	1	6	8	南南東	8	1	11.3	8	南南西	8	1	南南東	8	1	28.5	8	1	68	8	1	1008.6	8	1	1012.7	8	1	3	8	1	晴後一時薄曇	8	1	晴一時薄曇	8	1
